ID,Name,City,State
1180,Saint Paul Cathedral,Pittsburgh,PA
1181,Holy Spirit Parish,Pittsburgh,PA
1182,St. Joseph the Worker Parish,Braddock,PA
1183,The Epiphany of the Lord Parish,Meadville,PA
1184,Saint John the Evangelist,Girard,PA
1185,Ss. Cosmas & Damian Parish,Punxsutawney,PA
1186,St. Tobias Parish,Brockway,PA
1187,St. Bernard of Clairvaux Church,Bradford,PA
1188,Holy Trinity Parish,Ligonier,PA
1189,Sacred Heart of Jesus,Erie,PA
1195,St. Patrick Church,Erie,PA
1197,St. Joseph Parish,Force,PA
1198,Saint Augustine Parish,St. Augustine,FL
1199,Our Lady of Mercy Church,Harborcreek,PA
1201,Church of Saints Simon and Jude,Blairsville,PA
1203,Saint Elizabeth of Hungary,Smethport,PA
1204,Immaculate Conception Church,Irwin,PA
1206,Church of the Good Shepherd,Kent,PA
1208,Saint Luke,Ambridge,PA
1210,Our Lady of the Lake,Edinboro,PA
1211,Saint Katharine Drexel Parish,Bentleyville,PA
1212,St. Michael's Catholic Church,Johnstown,PA
1216,St. Florian,United,PA
1220,Queen of the World Church,St. Marys,PA
1221,Holy Trinity,Dunkirk,NY
1223,Resurrection Parish,Pittsburgh,PA
1224,Holy Family Parish,Oakmont,PA
1225,Triumph of the Holy Cross Parish,Pittsburgh,PA
1226,Shrines of Pittsburgh of the Diocese of Pittsburgh,Pittsburgh,PA
1229,"St. Olaf, Patron of Norway Catholic Church",Williamsburg,VA
1230,St. John the Evangelist,Wellsburg,WV
1233,Saint Benedict Catholic Church,Greensburg,PA
1234,St. Bruno Catholic Church,South Greensburg,PA
1235,St. Jerome Catholic Church,Walbridge,OH
1236,Holy Family Parish,Stow,OH
1241,St. Francis Xavier,Medina,OH
1244,St. Nicholas Catholic Church,Virginia Beach,VA
1246,Blessed Sacrament,Harrisonburg,VA
1247,St. Michael the Archangel,Convent,LA
1249,Holy Family Catholic Church,Nashville,TN
1251,St. Valentine,Pittsburgh,PA
1253,Saint Joseph Catholic Church,Florence,AL
1256,Holy Infant of Prague Catholic Church,Trussville,AL
1259,The Cathedral of St. John the Evangelist,Cleveland,OH
1264,Holy Rosary,Nashville,TN
1271,St. Edward The Confessor Catholic Church,N. Chesterfield,VA
1273,Our Lady of Perpetual Help Catholic Church,Stonewood,WV
1276,Saints Peter and Paul,Beaver,PA
1281,All Saints Church,Knoxville,TN
1283,Church of the Epiphany,N. Chesterfield,VA
1285,St. Edward,Ashland,OH
1286,St. Gabriel Church,Painesville,OH
1287,St. Charles Catholic Church,Arlington,VA
1292,Good Shepherd Catholic Parish,Huntsville,AL
1298,Santa Rosa de Lima,Murfreesboro,TN
1300,St. Michael the Archangel,Canton,OH
1302,Holy Rosary & Cabrini,Kaplan,LA
1303,Saint Matthew,Virginia Beach,VA
1304,St. Boniface Catholic Church,Erie,PA
1310,Our Lady of the Lakes Parish,Bairdford,PA
